 ciudadmexid | estadomexid | claveciudadmex |                  nombreciudadmex                   | claveconapo | ?column? |                  ?column?                  | ?column? 
        2403 |          32 | 2403           | EL SALVADOR                                        | 320410001   |          |                                            |        0
        2407 |          32 | 2407           | GENERAL FRANCISCO R MURGUIA                        | 320140001   |          |                                            |        0
        2409 |          32 | 2409           | GUADALUPE                                          | 320170001   | 204252   | GUADALUPE VICTORIA                         |       14
        2411 |          32 | 2411           | JALPA                                              | 320190001   | 2743005  | SAN RAYMUNDO JALPAN                        |        7
        2412 |          32 | 2412           | JEREZ                                              | 320200001   | 4620003  | JEREZ DE GARCIA SALINAS                    |        1
        2413 |          32 | 2413           | JIMENEZ DEL TEUL                                   | 320210001   |          |                                            |        0
        2416 |          32 | 2416           | LORETO                                             | 320240001   | 303069   | LORETO                                     |        2
        2419 |          32 | 2419           | MELCHOR OCAMPO                                     | 320270001   | 1754002  | MELCHOR OCAMPO                             |        5
        2424 |          32 | 2424           | MORELOS                                            | 320320001   | 204208   | CIUDAD MORELOS                             |       23
        2429 |          32 | 2429           | PANUCO                                             | 320370001   | 1141001  | PANUCO DE CORONADO MUNICIPIO DE            |        4
        2431 |          32 | 2431           | RIO GRANDE                                         | 320390001   | 2410155  | RIO GRANDE                                 |        4
        2433 |          32 | 2433           | SANTA MARIA DE LA PAZ                              | 320580001   |          |                                            |        0
        2441 |          32 | 2441           | TRANCOSO                                           | 320570001   |          |                                            |        0
        2442 |          32 | 2442           | TRINIDAD GARCIA DE LA CADENA                       | 320110001   |          |                                            |        0
        2447 |          32 | 2447           | VILLA HIDALGO                                      | 320530001   | 1619002  | VILLA HIDALGO                              |        6
           1 |           1 | 1              | AGUASCALIENTES                                     | 010010001   | 101003   | AGUASCALIENTES MUNICIPIO DE (OTROS)        |        2
           5 |           1 | 5              | EL LLANO                                           | 010100001   | 4261439  | POTRERO DEL LLANO                          |        1
           6 |           1 | 6              | JESUS MARIA                                        | 010050001   | 113006   | JESUS MARIA                                |        2
          10 |           1 | 10             | SAN JOSE DE GRACIA                                 | 010080001   | 122009   | SAN JOSE DE GRACIA                         |        2
          12 |           2 | 12             | ENSENADA                                           | 020010001   | 201105   | ENSENADA LOCALIDAD DE                      |        1
          13 |           2 | 13             | MEXICALI                                           | 020020001   | 204009   | MEXICALI MUNICIPIO DE                      |        2
          14 |           2 | 14             | PLAYAS DE ROSARITO                                 | 020050001   |          |                                            |        0
          16 |           2 | 16             | TIJUANA                                            | 020040001   | 210009   | TIJUANA MUNICIPIO DE                       |        2
          19 |           3 | 19             | LORETO                                             | 030090001   | 303069   | LORETO                                     |        2
          20 |           3 | 20             | LOS CABOS                                          | 030080001   |          |                                            |        0
          21 |           3 | 21             | MULEGE                                             | 030020001   | 305006   | MULEGE MUNICIPIO DE                        |        2
          22 |           4 | 22             | CALAKMUL                                           | 040100001   |          |                                            |        0
          24 |           4 | 24             | CAMPECHE                                           | 040020001   | 405009   | CAMPECHE MUNICIPIO DE                      |        3
          26 |           4 | 26             | CARMEN                                             | 040030001   | 407003   | CARMEN                                     |        5
          33 |           5 | 33             | ABASOLO                                            | 050010001   | 503009   | ABASOLO                                    |        6
          35 |           5 | 35             | ALLENDE                                            | 050030001   | 507009   | ALLENDE                                    |       12
          36 |           5 | 36             | ARTEAGA                                            | 050040001   | 116006   | PABELLON DE ARTEAGA                        |        4
          41 |           5 | 41             | FRANCISCO I MADERO                                 | 050090001   | 519009   | FRANCISCO I MADERO                         |        3
          42 |           5 | 42             | FRONTERA                                           | 050100001   | 521006   | FRONTERA                                   |        7
          44 |           5 | 44             | GUERRERO                                           | 050120001   | 201408   | VICENTE GUERRERO                           |       22
          45 |           5 | 45             | HIDALGO                                            | 050130001   | 527006   | HIDALGO                                    |       29
          46 |           5 | 46             | JIMENEZ                                            | 050140001   | 529006   | JIMENEZ                                    |        8
          47 |           5 | 47             | JUAREZ                                             | 050150001   | 204159   | BENITO JUAREZ                              |       33
          50 |           5 | 50             | MONCLOVA                                           | 050180001   | 537009   | MONCLOVA MUNICIPIO DE                      |        2
          51 |           5 | 51             | MORELOS                                            | 050190001   | 204208   | CIUDAD MORELOS                             |       23
          52 |           5 | 52             | MUZQUIZ                                            | 050200001   | 535059   | LA ESPERANZA (MUZQUIZ)                     |        3
          55 |           5 | 55             | OCAMPO                                             | 050230001   | 547009   | OCAMPO                                     |       16
          56 |           5 | 56             | PARRAS                                             | 050240001   | 549009   | PARRAS DE LA FUENTE                        |        1
          58 |           5 | 58             | PROGRESO                                           | 050260001   | 553006   | PROGRESO                                   |       11
          60 |           5 | 60             | SABINAS                                            | 050280001   | 557006   | SABINAS MUNICIPIO DE                       |        5
          62 |           5 | 62             | SALTILLO                                           | 050300001   | 561009   | SALTILLO                                   |        2
          64 |           5 | 64             | SAN JUAN DE SABINAS                                | 050320001   | 565003   | SAN JUAN DE SABINAS MUNICIPIO DE           |        2
          66 |           5 | 66             | SIERRA MOJADA                                      | 050340001   | 571009   | SIERRA MOJADA MUNICIPIO DE                 |        2
          69 |           5 | 69             | VILLA UNION                                        | 050370001   | 577009   | VILLA UNION                                |        3
          70 |           5 | 70             | ZARAGOZA                                           | 050380001   | 579009   | ZARAGOZA                                   |       17
          72 |           6 | 72             | COLIMA                                             | 060020001   | 605006   | COLIMA MUNICIPIO DE                        |        2
          75 |           6 | 75             | CUAUHTEMOC                                         | 060050001   | 611009   | CUAUHTEMOC MUNICIPIO DE                    |       10
          77 |           6 | 77             | MANZANILLO                                         | 060070001   | 615009   | MANZANILLO MUNICIPIO DE                    |        2
          78 |           6 | 78             | MINATITLAN                                         | 060080001   | 617009   | MINATITLAN                                 |        2
          79 |           6 | 79             | TECOMAN                                            | 060090001   | 619003   | TECOMAN MUNICIPIO DE                       |        2
          80 |           6 | 80             | VILLA DE ALVAREZ                                   | 060100001   | 621009   | VILLA DE ALVAREZ MUNICIPIO DE              |        2
          81 |           7 | 81             | ACACOYAGUA                                         | 070010001   |          |                                            |        0
          83 |           7 | 83             | ACAPETAHUA                                         | 070030001   |          |                                            |        0
          84 |           7 | 84             | ALDAMA                                             | 071130001   | 902006   | ALDAMA                                     |        9
          85 |           7 | 85             | ALTAMIRANO                                         | 070040001   | 704003   | ALTAMIRANO                                 |        4
          93 |           7 | 93             | BENEMERITO DE LAS AMERICAS                         | 071140001   |          |                                            |        0
         112 |           7 | 112            | EL BOSQUE                                          | 070140001   |          |                                            |        0
         113 |           7 | 113            | EL PORVENIR                                        | 070700001   |          |                                            |        0
         120 |           7 | 120            | HUIXTAN                                            | 070380001   |          |                                            |        0
         124 |           7 | 124            | IXTAPA                                             | 070440001   | 744009   | IXTAPA                                     |        7
         128 |           7 | 128            | JUAREZ                                             | 070480001   | 204159   | BENITO JUAREZ                              |       33
         129 |           7 | 129            | LA CONCORDIA                                       | 070200001   |          |                                            |        0
         130 |           7 | 130            | LA GRANDEZA                                        | 070360001   |          |                                            |        0
         131 |           7 | 131            | LA INDEPENDENCIA                                   | 070410001   |          |                                            |        0
         132 |           7 | 132            | LA LIBERTAD                                        | 070500001   |          |                                            |        0
         133 |           7 | 133            | LA TRINITARIA                                      | 070990001   |          |                                            |        0
         135 |           7 | 135            | LAS MARGARITAS                                     | 070520001   |          |                                            |        0
         136 |           7 | 136            | LAS ROSAS                                          | 070750001   |          |                                            |        0
         138 |           7 | 138            | MARAVILLA TENEJAPA                                 | 071150001   |          |                                            |        0
         139 |           7 | 139            | MARQUES DE COMILLAS                                | 071160001   |          |                                            |        0
         144 |           7 | 144            | MONTECRISTO DE GUERRERO                            | 071170001   |          |                                            |        0
         155 |           7 | 155            | PANTEPEC                                           | 070670001   | 767003   | PANTEPEC                                   |        4
         159 |           7 | 159            | RAYON                                              | 070730001   | 773006   | RAYON                                      |        5
         162 |           7 | 162            | SALTO DE AGUA                                      | 070770001   |          |                                            |        0
         163 |           7 | 163            | SAN ANDRES DURAZNAL                                | 071180001   |          |                                            |        0
         165 |           7 | 165            | SAN FERNANDO                                       | 070790001   | 779006   | SAN FERNANDO (CHIAPAS)                     |        3
         166 |           7 | 166            | SAN JUAN CANCUC                                    | 071120001   |          |                                            |        0
         167 |           7 | 167            | SAN LUCAS                                          | 071100001   | 302103   | CABO SAN LUCAS                             |        7
         168 |           7 | 168            | SANTIAGO EL PINAR                                  | 071190001   |          |                                            |        0
         170 |           7 | 170            | SIMOJOVEL                                          | 070810001   | 781003   | SIMOJOVEL DE ALLENDE                       |        1
         173 |           7 | 173            | SOLOSUCHIAPA                                       | 070840001   |          |                                            |        0
         186 |           7 | 186            | TOTOLAPA                                           | 070980001   | 1355002  | SAN MIGUEL TOTOLAPAN                       |        3
         187 |           7 | 187            | TUMBALA                                            | 071000001   |          |                                            |        0
         193 |           7 | 193            | VENUSTIANO CARRANZA                                | 071060001   | 807009   | VENUSTIANO CARRANZA (CHIAPAS)              |        5
         194 |           7 | 194            | VILLA COMALTITLAN                                  | 070710001   |          |                                            |        0
         195 |           7 | 195            | VILLA CORZO                                        | 071070001   | 808503   | VILLA CORZO ( LOCALIDAD )                  |        1
         196 |           7 | 196            | VILLAFLORES                                        | 071080001   |          |                                            |        0
         200 |           8 | 200            | ALDAMA                                             | 080020001   | 902006   | ALDAMA                                     |        9
         201 |           8 | 201            | ALLENDE                                            | 080030001   | 507009   | ALLENDE                                    |       12
         203 |           8 | 203            | ASCENSION                                          | 080050001   |          |                                            |        0
         207 |           8 | 207            | BOCOYNA                                            | 080090001   |          |                                            |        0
         208 |           8 | 208            | BUENAVENTURA                                       | 080100001   | 563009   | SAN BUENAVENTURA                           |        3
         210 |           8 | 210            | CARICHI                                            | 080120001   | 912009   | CARICHIC                                   |        1
         212 |           8 | 212            | CHIHUAHUA                                          | 080190001   | 919003   | CHIHUAHUA MUNICIPIO DE                     |        3
         215 |           8 | 215            | COYAME DEL SOTOL                                   | 080150001   |          |                                            |        0
         216 |           8 | 216            | CUAUHTEMOC                                         | 080170001   | 611009   | CUAUHTEMOC MUNICIPIO DE                    |       10
         217 |           8 | 217            | CUSIHUIRIACHI                                      | 080180001   | 918009   | CUSIHUIRIACHIC                             |        1
         218 |           8 | 218            | DELICIAS                                           | 080210001   | 921009   | DELICIAS CIUDAD                            |        1
         219 |           8 | 219            | DOCTOR BELISARIO DOMINGUEZ                         | 080220001   |          |                                            |        0
         220 |           8 | 220            | EL TULE                                            | 080640001   | 2811006  | SANTA MARIA DEL TULE                       |        1
         222 |           8 | 222            | GOMEZ FARIAS                                       | 080250001   | 925009   | GOMEZ FARIAS                               |        3
         225 |           8 | 225            | GUADALUPE                                          | 080280001   | 204252   | GUADALUPE VICTORIA                         |       14
         228 |           8 | 228            | GUERRERO                                           | 080310001   | 201408   | VICENTE GUERRERO                           |       22
         231 |           8 | 231            | IGNACIO ZARAGOZA                                   | 080340001   | 934006   | IGNACIO ZARAGOZA                           |        2
         233 |           8 | 233            | JIMENEZ                                            | 080360001   | 529006   | JIMENEZ                                    |        8
         234 |           8 | 234            | JUAREZ                                             | 080370001   | 204159   | BENITO JUAREZ                              |       33
         238 |           8 | 238            | MADERA                                             | 080400001   | 940003   | MADERA MUNICIPIO DE                        |        2
         239 |           8 | 239            | MAGUARICHI                                         | 080410001   | 941009   | MAGUARICHIC                                |        1
         241 |           8 | 241            | MATACHI                                            | 080430001   | 943003   | MATACHIC                                   |        1
         243 |           8 | 243            | MEOQUI                                             | 080450001   | 945009   | MEOQUI MUNICIPIO DE                        |        2
         244 |           8 | 244            | MORELOS                                            | 080460001   | 204208   | CIUDAD MORELOS                             |       23
         246 |           8 | 246            | NAMIQUIPA                                          | 080480001   | 948009   | NAMIQUIPA MUNICIPIO DE                     |        2
         247 |           8 | 247            | NONOAVA                                            | 080490001   |          |                                            |        0
         248 |           8 | 248            | NUEVO CASAS GRANDES                                | 080500001   | 950003   | NUEVO CASAS GRANDES MUNICIPIO DE           |        2
         249 |           8 | 249            | OCAMPO                                             | 080510001   | 547009   | OCAMPO                                     |       16
         253 |           8 | 253            | ROSALES                                            | 080550001   | 955009   | ROSALES                                    |        4
         254 |           8 | 254            | ROSARIO                                            | 080560001   | 956003   | ROSARIO                                    |        6
         256 |           8 | 256            | SAN FRANCISCO DE BORJA                             | 080580001   |          |                                            |        0
         259 |           8 | 259            | SANTA ISABEL (GENERAL TRIAS)                       | 080240001   |          |                                            |        0
         262 |           8 | 262            | TEMOSACHI                                          | 080630001   | 963009   | TEMOSACHIC                                 |        1
         264 |           8 | 264            | URUACHI                                            | 080660001   | 966009   | URUACHIC                                   |        1
         266 |           9 | 266            | ALVARO OBREGON                                     | 090100001   | 1903007  | ALVARO OBREGON MUNICIPIO DE                |        2
         267 |           9 | 267            | AZCAPOTZALCO                                       | 090020001   |          |                                            |        0
         268 |           9 | 268            | BENITO JUAREZ                                      | 090140001   | 204159   | BENITO JUAREZ                              |       10
         269 |           9 | 269            | COYOACAN                                           | 090030001   |          |                                            |        0
         270 |           9 | 270            | CUAJIMALPA DE MORELOS                              | 090040001   |          |                                            |        0
         271 |           9 | 271            | CUAUHTEMOC                                         | 090150001   | 611009   | CUAUHTEMOC MUNICIPIO DE                    |       10
         272 |           9 | 272            | GUSTAVO A MADERO                                   | 090050001   |          |                                            |        0
         273 |           9 | 273            | IZTACALCO                                          | 090060001   |          |                                            |        0
         274 |           9 | 274            | IZTAPALAPA                                         | 090070001   |          |                                            |        0
         275 |           9 | 275            | LA MAGDALENA CONTRERAS                             | 090080001   |          |                                            |        0
         277 |           9 | 277            | MILPA ALTA                                         | 090090001   |          |                                            |        0
         278 |           9 | 278            | TLAHUAC                                            | 090110001   | 613003   | IXTLAHUACAN                                |       25
         279 |           9 | 279            | TLALPAN                                            | 090120001   | 1760002  | NEXTLALPAN                                 |        2
         280 |           9 | 280            | VENUSTIANO CARRANZA                                | 090170001   | 807009   | VENUSTIANO CARRANZA (CHIAPAS)              |        5
         281 |           9 | 281            | XOCHIMILCO                                         | 090130001   |          |                                            |        0
         282 |          10 | 282            | CANATLAN                                           | 100010001   | 1103002  | CANATLAN MUNICIPIO DE                      |        2
         287 |          10 | 287            | EL ORO                                             | 100180001   | 959003   | SAN FRANCISCO DEL ORO                      |        6
         289 |          10 | 289            | GOMEZ PALACIO                                      | 100070001   | 1115008  | GOMEZ PALACIOS                             |        1
         290 |          10 | 290            | GUADALUPE VICTORIA                                 | 100080001   | 204252   | GUADALUPE VICTORIA                         |        3
         292 |          10 | 292            | HIDALGO                                            | 100100001   | 527006   | HIDALGO                                    |       29
         295 |          10 | 295            | MAPIMI                                             | 100130001   | 1127005  | MAPIMI MUNICIPIO DE                        |        2
         300 |          10 | 300            | OCAMPO                                             | 100170001   | 547009   | OCAMPO                                     |       16
         302 |          10 | 302            | PANUCO DE CORONADO                                 | 100200001   | 1141001  | PANUCO DE CORONADO MUNICIPIO DE            |        2
         305 |          10 | 305            | PUEBLO NUEVO                                       | 100230001   | 771009   | PUEBLO NUEVO COMATITLAN                    |        4
         309 |          10 | 309            | SAN JUAN DEL RIO                                   | 100270001   | 1157008  | SAN JUAN DEL RIO                           |        3
         313 |          10 | 313            | SANTA CLARA                                        | 100310001   | 1163008  | SANTA CLARA                                |        3
         318 |          10 | 318            | TLAHUALILO                                         | 100360001   | 1173003  | TLAHUALILO DE ZARAGOZA                     |        1
         320 |          10 | 320            | VICENTE GUERRERO                                   | 100380001   | 201408   | VICENTE GUERRERO                           |        5
         321 |          11 | 321            | ABASOLO                                            | 110010001   | 503009   | ABASOLO                                    |        6
         323 |          11 | 323            | ALLENDE                                            | 110040001   | 507009   | ALLENDE                                    |       12
         327 |          11 | 327            | CELAYA                                             | 110090001   | 1214005  | CELAYA MUNICIPIO DE                        |        2
         340 |          11 | 340            | MANUEL DOBLADO                                     | 110210001   | 1216007  | CIUDAD MANUEL DOBLADO                      |        1
         342 |          11 | 342            | OCAMPO                                             | 110230001   | 547009   | OCAMPO                                     |       16
         343 |          11 | 343            | PENJAMO                                            | 110240001   | 1246001  | PENJAMO MUNICIPIO DE                       |        2
         344 |          11 | 344            | PUEBLO NUEVO                                       | 110250001   | 771009   | PUEBLO NUEVO COMATITLAN                    |        4
         350 |          11 | 350            | SAN FELIPE                                         | 110310001   | 204555   | SAN FELIPE                                 |       13
         354 |          11 | 354            | SANTA CATARINA                                     | 110340001   | 1272003  | SANTA CATARINA                             |       17
         360 |          11 | 360            | TIERRA BLANCA                                      | 110400001   | 1284006  | TIERRA BLANCA                              |        2
         363 |          11 | 363            | VICTORIA                                           | 110430001   | 204252   | GUADALUPE VICTORIA                         |       10
         364 |          11 | 364            | VILLAGRAN                                          | 110440001   | 1292008  | VILLAGRAN                                  |        2
         366 |          11 | 366            | YURIRIA                                            | 110460001   | 1296009  | YURIRIA MUNICIPIO DE                       |        2
         367 |          12 | 367            | ACAPULCO DE JUAREZ                                 | 120010001   |          |                                            |        0
         368 |          12 | 368            | ACATEPEC                                           | 120760001   | 2125008  | JONACATEPEC                                |        8
         369 |          12 | 369            | AHUACUOTZINGO                                      | 120020001   |          |                                            |        0
         370 |          12 | 370            | AJUCHITLAN DEL PROGRESO                            | 120030001   |          |                                            |        0
         371 |          12 | 371            | ALCOZAUCA DE GUERRERO                              | 120040001   |          |                                            |        0
         379 |          12 | 379            | AYUTLA DE LOS LIBRES                               | 120120001   |          |                                            |        0
         380 |          12 | 380            | AZOYU                                              | 120130001   | 1313002  | AZOYU MUNICIPIO DE                         |        3
         381 |          12 | 381            | BENITO JUAREZ                                      | 120140001   | 204159   | BENITO JUAREZ                              |       10
         383 |          12 | 383            | CHILAPA DE ALVAREZ                                 | 120280001   |          |                                            |        0
         384 |          12 | 384            | CHILPANCINGO DE LOS BRAVO                          | 120290001   |          |                                            |        0
         385 |          12 | 385            | COAHUAYUTLA DE JOSE MARIA IZAZAGA                  | 120160001   |          |                                            |        0
         386 |          12 | 386            | COCULA                                             | 120170001   | 1317003  | COCULA                                     |        2
         392 |          12 | 392            | CUAJINICUILAPA                                     | 120230001   |          |                                            |        0
         394 |          12 | 394            | CUAUTEPEC                                          | 120250001   | 1325008  | CUAUTEPEC                                  |        2
         395 |          12 | 395            | CUETZALA DEL PROGRESO                              | 120260001   |          |                                            |        0
         396 |          12 | 396            | CUTZAMALA DE PINZON                                | 120270001   |          |                                            |        0
         397 |          12 | 397            | EDUARDO NERI                                       | 120750001   |          |                                            |        0
         402 |          12 | 402            | HUITZUCO DE LOS FIGUEROA                           | 120340001   |          |                                            |        0
         403 |          12 | 403            | IGUALA DE LA INDEPENDENCIA                         | 120350001   |          |                                            |        0
         405 |          12 | 405            | IXCATEOPAN DE CUAUHTEMOC                           | 120370001   |          |                                            |        0
         408 |          12 | 408            | LA UNION DE ISIDORO MONTES DE OCA                  | 120680001   |          |                                            |        0
         423 |          12 | 423            | SAN MARCOS                                         | 120530001   | 1354001  | SAN MARCOS                                 |        3
         425 |          12 | 425            | TAXCO DE ALARCON                                   | 120550001   |          |                                            |        0
         427 |          12 | 427            | TECPAN DE GALEANA                                  | 120570001   |          |                                            |        0
         429 |          12 | 429            | TEPECOACUILCO DE TRUJANO                           | 120590001   |          |                                            |        0
         431 |          12 | 431            | TIXTLA DE GUERRERO                                 | 120610001   |          |                                            |        0
         435 |          12 | 435            | TLALIXTAQUILLA DE MALDONADO                        | 120650001   |          |                                            |        0
         436 |          12 | 436            | TLAPA DE COMONFORT                                 | 120660001   |          |                                            |        0
         442 |          12 | 442            | ZIRANDARO                                          | 120730001   | 1374006  | ZIRANDARO MUNICIPIO DE                     |        2
         444 |          13 | 444            | ACATLAN                                            | 130010001   | 1353003  | SAN LUIS ACATLAN                           |       15
         446 |          13 | 446            | ACTOPAN                                            | 130030001   | 1403005  | ACTOPAN                                    |        2
         447 |          13 | 447            | AGUA BLANCA DE ITURBIDE                            | 130040001   |          |                                            |        0
         455 |          13 | 455            | ATOTONILCO DE TULA                                 | 130120001   |          |                                            |        0
         461 |          13 | 461            | CUAUTEPEC                                          | 130160001   | 1325008  | CUAUTEPEC                                  |        2
         462 |          13 | 462            | EL ARENAL                                          | 130090001   |          |                                            |        0
         463 |          13 | 463            | ELOXOCHITLAN                                       | 130200001   | 1420007  | ELOXOCHITLAN                               |        4
         464 |          13 | 464            | EMILIANO ZAPATA                                    | 130210001   | 1421002  | EMILIANO ZAPATA                            |        5
         466 |          13 | 466            | FRANCISCO I MADERO                                 | 130230001   | 519009   | FRANCISCO I MADERO                         |        3
         467 |          13 | 467            | HUASCA DE OCAMPO                                   | 130240001   |          |                                            |        0
         470 |          13 | 470            | HUEHUETLA                                          | 130270001   | 1371003  | XOCHIHUEHUETLAN                            |        7
         474 |          13 | 474            | JACALA DE LEDEZMA                                  | 130310001   |          |                                            |        0
         477 |          13 | 477            | LA MISION                                          | 130400001   |          |                                            |        0
         479 |          13 | 479            | METEPEC                                            | 130350001   | 1347006  | OMETEPEC                                   |        3
         483 |          13 | 483            | MINERAL DE LA REFORMA                              | 130390001   |          |                                            |        0
         484 |          13 | 484            | MIXQUIAHUALA DE JUAREZ                             | 130410001   |          |                                            |        0
         485 |          13 | 485            | MOLANGO DE ESCAMILLA                               | 130420001   |          |                                            |        0
         487 |          13 | 487            | NOPALA DE VILLAGRAN                                | 130440001   |          |                                            |        0
         489 |          13 | 489            | PACHUCA DE SOTO                                    | 130480001   |          |                                            |        0
         492 |          13 | 492            | PROGRESO DE OBREGON                                | 130500001   |          |                                            |        0
         493 |          13 | 493            | SAN AGUSTIN METZQUITITLAN                          | 130360001   |          |                                            |        0
         496 |          13 | 496            | SAN FELIPE ORIZATLAN                               | 130460001   |          |                                            |        0
         498 |          13 | 498            | SANTIAGO TULANTEPEC DE LUGO GUERRERO               | 130550001   |          |                                            |        0
         499 |          13 | 499            | SANTIAGO DE ANAYA                                  | 130560001   |          |                                            |        0
         504 |          13 | 504            | TEPEAPULCO                                         | 130610001   | 1461003  | TEPEAPULCO MUNICIPIO DE                    |        2
         506 |          13 | 506            | TEPEJI DEL RIO DE OCAMPO                           | 130630001   |          |                                            |        0
         518 |          13 | 518            | TULA DE ALLENDE                                    | 130760001   | 1476009  | TULA DE ALLENDE MUNICIPIO DE               |        2
         519 |          13 | 519            | TULANCINGO DE BRAVO                                | 130770001   |          |                                            |        0
         520 |          13 | 520            | VILLA DE TEZONTEPEC                                | 130660001   |          |                                            |        0
         524 |          13 | 524            | ZACUALTIPAN DE ANGELES                             | 130810001   |          |                                            |        0
         526 |          13 | 526            | ZEMPOALA                                           | 130830001   | 1483007  | ZEMPOALA                                   |        2
         532 |          14 | 532            | AMATITAN                                           | 140050001   |          |                                            |        0
         539 |          14 | 539            | ATOYAC                                             | 140140001   | 1311006  | ATOYAC DE ALVAREZ                          |        5
         540 |          14 | 540            | AUTLAN DE NAVARRO                                  | 140150001   |          |                                            |        0
         542 |          14 | 542            | AYUTLA                                             | 140170001   | 1312007  | AYUTLA                                     |        5
         546 |          14 | 546            | CAÑADAS DE OBREGON                                 | 140210001   |          |                                            |        0
         547 |          14 | 547            | CHAPALA                                            | 140300001   | 1530009  | CHAPALA MUNICIPIO DE                       |        2
         548 |          14 | 548            | CHIMALTITAN                                        | 140310001   |          |                                            |        0
         550 |          14 | 550            | CIHUATLAN                                          | 140220001   | 1522004  | CIHUATLAN MUNICIPIO DE                     |        2
         551 |          14 | 551            | COCULA                                             | 140240001   | 1317003  | COCULA                                     |        2
         554 |          14 | 554            | CUAUTITLAN (DE GARCIA BARRAGAN)                    | 140270001   |          |                                            |        0
         559 |          14 | 559            | EL ARENAL                                          | 140090001   |          |                                            |        0
         560 |          14 | 560            | EL GRULLO                                          | 140370001   |          |                                            |        0
         561 |          14 | 561            | EL LIMON                                           | 140540001   |          |                                            |        0
         562 |          14 | 562            | EL SALTO                                           | 140700001   |          |                                            |        0
         565 |          14 | 565            | GOMEZ FARIAS                                       | 140790001   | 925009   | GOMEZ FARIAS                               |        3
         572 |          14 | 572            | IXTLAHUACAN DE LOS MEMBRILLOS                      | 140450001   | 1545006  | IXTLAHUACAN DE LOS MEMBRILLOS MUNICIPIO DE |        2
         575 |          14 | 575            | JESUS MARIA                                        | 140480001   | 113006   | JESUS MARIA                                |        2
         580 |          14 | 580            | LA BARCA                                           | 140180001   |          |                                            |        0
         581 |          14 | 581            | LA HUERTA                                          | 140430001   |          |                                            |        0
         582 |          14 | 582            | LA MANZANILLA DE LA PAZ                            | 140570001   |          |                                            |        0
         584 |          14 | 584            | MAGDALENA                                          | 140550001   | 1556008  | MAGDALENA                                  |       14
         593 |          14 | 593            | PONCITLAN                                          | 140660001   |          |                                            |        0
         594 |          14 | 594            | PUERTO VALLARTA                                    | 140670001   | 1569003  | PUERTO VALLARTA MUNICIPIO DE (OTRAS LOC.)  |        2
         596 |          14 | 596            | SAN CRISTOBAL DE LA BARRANCA                       | 140710001   |          |                                            |        0
         598 |          14 | 598            | SAN GABRIEL (CD VENUSTIANO CARRANZA)               | 141130001   |          |                                            |        0
         600 |          14 | 600            | SAN JUANITO DE ESCOBEDO                            | 140070001   |          |                                            |        0
         602 |          14 | 602            | SAN MARCOS                                         | 140750001   | 1354001  | SAN MARCOS                                 |        3
         604 |          14 | 604            | SAN MARTIN DE HIDALGO                              | 140770001   |          |                                            |        0
         606 |          14 | 606            | SAN SEBASTIAN DEL OESTE                            | 140800001   |          |                                            |        0
         607 |          14 | 607            | SANTA MARIA DEL ORO                                | 140810001   | 1137306  | SANTA MARIA DEL ORO                        |        2
         609 |          14 | 609            | SAYULA                                             | 140820001   | 1584009  | SAYULA                                     |        2
         615 |          14 | 615            | TECHALUTA DE MONTENEGRO                            | 140890001   |          |                                            |        0
         620 |          14 | 620            | TEPATITLAN DE MORELOS                              | 140930001   | 1595005  | TEPATITLAN DE MORELOS MUNICIPIO DE         |        2
         621 |          14 | 621            | TEQUILA                                            | 140940001   | 1596003  | TEQUILA                                    |        2
         624 |          14 | 624            | TLAJOMULCO DE ZUÑIGA                               | 140970001   |          |                                            |        0
         625 |          14 | 625            | TLAQUEPAQUE                                        | 140980001   | 1601008  | TLAQUEPAQUE MUNICIPIO DE                   |        2
         626 |          14 | 626            | TOLIMAN                                            | 140990001   | 1602009  | TOLIMAN                                    |        2
         627 |          14 | 627            | TOMATLAN                                           | 141000001   | 1603004  | TOMATLAN                                   |        2
         631 |          14 | 631            | TOTATICHE                                          | 141040001   |          |                                            |        0
         634 |          14 | 634            | TUXCUECA                                           | 141070001   | 1610002  | TUXCUECA MUNICIPIO DE                      |        2
         635 |          14 | 635            | TUXPAN                                             | 141080001   | 1611009  | TUXPAN                                     |        6
         641 |          14 | 641            | VILLA GUERRERO                                     | 141150001   | 1618007  | VILLA GUERRERO                             |        2
         642 |          14 | 642            | VILLA HIDALGO                                      | 141160001   | 1619002  | VILLA HIDALGO                              |        6
         643 |          14 | 643            | VILLA PURIFICACION                                 | 140680001   |          |                                            |        0
         646 |          14 | 646            | ZAPOPAN                                            | 141200001   | 1623003  | ZAPOPAN MUNICIPIO DE                       |        2
         650 |          14 | 650            | ZAPOTLAN EL GRANDE (CIUDAD GUZMAN)                 | 140230001   |          |                                            |        0
         656 |          15 | 656            | ALMOLOYA DE ALQUISIRAS                             | 150050001   |          |                                            |        0
         662 |          15 | 662            | ATENCO                                             | 150110001   | 1711004  | ATENCO SAN SALVADOR                        |        3
         668 |          15 | 668            | AYAPANGO                                           | 150170001   | 1717001  | AYAPANGO GABRIEL RAMOS MILLAN              |        1
         674 |          15 | 674            | CHIAUTLA                                           | 150280001   | 1729001  | CHIAUTLA                                   |        2
         675 |          15 | 675            | CHICOLOAPAN DE JUAREZ                              | 150290001   |          |                                            |        0
         678 |          15 | 678            | COACALCO DE BERRIOZABAL                            | 150200001   |          |                                            |        0
