 ciudadmexid | estadomexid | claveciudadmex |                  nombreciudadmex                   | claveconapo | ?column? |                  ?column?                  | ?column? 
        1802 |          23 | 1802           | ISLA MUJERES                                       | 230030001   | 3415009  | ISLA MUJERES MUNICIPIO DE                  |        2
        1804 |          23 | 1804           | LAZARO CARDENAS                                    | 230070001   | 945132   | LAZARO CARDENAS                            |        7
        1811 |          24 | 1811           | AXTLA DE TERRAZAS                                  | 240530001   |          |                                            |        0
        1812 |          24 | 1812           | CARDENAS                                           | 240050001   | 945132   | LAZARO CARDENAS                            |        9
        1818 |          24 | 1818           | CIUDAD DEL MAIZ                                    | 240100001   | 3510009  | CIUDAD DEL MAIZ MUNICIPIO DE               |        2
        1819 |          24 | 1819           | CIUDAD FERNANDEZ                                   | 240110001   | 3511003  | CIUDAD FERNANDEZ MUNICIPIO DE              |        2
        1821 |          24 | 1821           | COXCATLAN                                          | 240140001   | 3035003  | COXCATLAN                                  |        2
        1823 |          24 | 1823           | EL NARANJO                                         | 240580001   | 3510202  | EL NARANJO DE CARLOS SARABIA               |        1
        1826 |          24 | 1826           | LAGUNILLAS                                         | 240190001   | 1948004  | LAGUNILLAS                                 |        3
        1829 |          24 | 1829           | MEXQUITIC DE CARMONA                               | 240210001   |          |                                            |        0
        1830 |          24 | 1830           | MOCTEZUMA                                          | 240220001   | 3522009  | MOCTEZUMA                                  |        2
        1831 |          24 | 1831           | RAYON                                              | 240230001   | 773006   | RAYON                                      |        5
        1832 |          24 | 1832           | RIOVERDE                                           | 240240001   |          |                                            |        0
        1834 |          24 | 1834           | SAN ANTONIO                                        | 240260001   | 302309   | SAN ANTONIO                                |       14
        1835 |          24 | 1835           | SAN CIRO DE ACOSTA                                 | 240270001   |          |                                            |        0
        1840 |          24 | 1840           | SANTA CATARINA                                     | 240310001   | 1272003  | SANTA CATARINA                             |       17
        1842 |          24 | 1842           | SANTO DOMINGO                                      | 240330001   | 2908002  | SANTO DOMINGO                              |       23
        1845 |          24 | 1845           | TAMAZUNCHALE                                       | 240370001   | 3537009  | TAMAZUNCHALE MUNICIPIO DE                  |        2
        1847 |          24 | 1847           | TAMPAMOLON CORONA                                  | 240390001   |          |                                            |        0
        1849 |          24 | 1849           | TANCANHUITZ                                        | 240120001   | 3512009  | TANCANHUITZ CIUDAD SANTOS                  |        1
        1852 |          24 | 1852           | TIERRA NUEVA                                       | 240430001   |          |                                            |        0
        1855 |          24 | 1855           | VILLA HIDALGO                                      | 240560001   | 1619002  | VILLA HIDALGO                              |        6
        1856 |          24 | 1856           | VILLA JUAREZ                                       | 240460001   | 3552009  | VILLA JUAREZ                               |        2
        1857 |          24 | 1857           | VILLA DE ARISTA                                    | 240470001   |          |                                            |        0
        1864 |          24 | 1864           | ZARAGOZA                                           | 240550001   | 579009   | ZARAGOZA                                   |       17
        1865 |          25 | 1865           | AHOME                                              | 250010001   | 3601009  | AHOME MUNICIPIO DE                         |        2
        1866 |          25 | 1866           | ANGOSTURA                                          | 250020001   | 3604009  | ANGOSTURA MUNICIPIO DE                     |        2
        1871 |          25 | 1871           | CULIACAN                                           | 250060001   | 3616006  | CULIACAN MUNICIPIO DE                      |        2
        1872 |          25 | 1872           | EL FUERTE                                          | 250100001   |          |                                            |        0
        1873 |          25 | 1873           | ELOTA                                              | 250080001   | 3622003  | ELOTA MUNICIPIO DE                         |        2
        1874 |          25 | 1874           | ESCUINAPA                                          | 250090001   | 3625003  | ESCUINAPA MUNICIPIO DE                     |        2
        1875 |          25 | 1875           | GUASAVE                                            | 250110001   | 3631009  | GUASAVE MUNICIPIO DE                       |        2
        1877 |          25 | 1877           | MOCORITO                                           | 250130001   | 3637009  | MOCORITO MUNICIPIO DE                      |        2
        1879 |          25 | 1879           | ROSARIO                                            | 250140001   | 956003   | ROSARIO                                    |        6
        1881 |          25 | 1881           | SAN IGNACIO                                        | 250160001   | 204579   | SAN IGNACIO                                |        4
        1882 |          25 | 1882           | SINALOA                                            | 250170001   | 3601653  | SINALOA DE LEYVA                           |        3
        1890 |          26 | 1890           | BACADEHUACHI                                       | 260080001   |          |                                            |        0
        1898 |          26 | 1898           | BENITO JUAREZ                                      | 260710001   | 204159   | BENITO JUAREZ                              |       10
        1901 |          26 | 1901           | CAJEME                                             | 260180001   | 3718009  | CAJEME MUNICIPIO DE                        |        2
        1908 |          26 | 1908           | ETCHOJOA                                           | 260260001   | 3726009  | ETCHOJOA MUNICIPIO DE                      |        2
        1909 |          26 | 1909           | FRONTERAS                                          | 260270001   | 3727006  | FRONTERAS MUNICIPIO DE                     |        2
        1910 |          26 | 1910           | GENERAL PLUTARCO ELIAS CALLES                      | 260700001   |          |                                            |        0
        1912 |          26 | 1912           | GUAYMAS                                            | 260290001   | 3729009  | GUAYMAS MUNICIPIO DE                       |        2
        1913 |          26 | 1913           | HERMOSILLO                                         | 260300001   | 204279   | HERMOSILLO (EJIDO)                         |        3
        1919 |          26 | 1919           | LA COLORADA                                        | 260210001   |          |                                            |        0
        1920 |          26 | 1920           | MAGDALENA                                          | 260360001   | 1556008  | MAGDALENA                                  |       14
        1922 |          26 | 1922           | MOCTEZUMA                                          | 260380001   | 3522009  | MOCTEZUMA                                  |        2
        1927 |          26 | 1927           | NOGALES                                            | 260430001   | 3743003  | NOGALES                                    |        2
        1932 |          26 | 1932           | PUERTO PEÑASCO                                     | 260480001   | 3748009  | PUERTO PEÑASCO MUNICIPIO DE                |        2
        1934 |          26 | 1934           | RAYON                                              | 260500001   | 773006   | RAYON                                      |        5
        1935 |          26 | 1935           | ROSARIO                                            | 260510001   | 956003   | ROSARIO                                    |        6
        1937 |          26 | 1937           | SAN FELIPE DE JESUS                                | 260530001   |          |                                            |        0
        1940 |          26 | 1940           | SAN LUIS RIO COLORADO                              | 260550001   | 3755006  | SAN LUIS RIO COLORADO MUNICIPIO            |        2
        1943 |          26 | 1943           | SANTA ANA                                          | 260580001   | 1246154  | SANTA ANA PACUECO                          |       13
        1952 |          26 | 1952           | VILLA HIDALGO                                      | 260670001   | 1619002  | VILLA HIDALGO                              |        6
        1954 |          26 | 1954           | YECORA                                             | 260690001   | 3769003  | YECORA MUNICIPIO DE                        |        2
        1956 |          27 | 1956           | CARDENAS                                           | 270020001   | 945132   | LAZARO CARDENAS                            |        9
        1959 |          27 | 1959           | COMALCALCO                                         | 270050001   | 3817003  | COMALCALCO MUNICIPIO DE                    |        2
        1961 |          27 | 1961           | EMILIANO ZAPATA                                    | 270070001   | 1421002  | EMILIANO ZAPATA                            |        5
        1962 |          27 | 1962           | HUIMANGUILLO                                       | 270080001   | 3824003  | HUIMANGUILLO MUNICIPIO DE                  |        2
        1963 |          27 | 1963           | JALAPA                                             | 270090001   | 2533005  | SAN FELIPE JALAPA DE DIAZ                  |        6
        1964 |          27 | 1964           | JALPA DE MENDEZ                                    | 270100001   |          |                                            |        0
        1968 |          27 | 1968           | PARAISO                                            | 270140001   | 3842009  | PARAISO MUNICIPIO DE                       |        3
        1972 |          28 | 1972           | ABASOLO                                            | 280010001   | 503009   | ABASOLO                                    |        6
        1973 |          28 | 1973           | ALDAMA                                             | 280020001   | 902006   | ALDAMA                                     |        9
        1977 |          28 | 1977           | BUSTAMANTE                                         | 280060001   | 2308008  | BUSTAMANTE                                 |        2
        1982 |          28 | 1982           | EL MANTE                                           | 280210001   |          |                                            |        0
        1983 |          28 | 1983           | GOMEZ FARIAS                                       | 280110001   | 925009   | GOMEZ FARIAS                               |        3
        1984 |          28 | 1984           | GONZALEZ                                           | 280120001   | 204309   | JESUS GONZALEZ ORTEGA                      |       10
        1986 |          28 | 1986           | GUERRERO                                           | 280140001   | 201408   | VICENTE GUERRERO                           |       22
        1988 |          28 | 1988           | HIDALGO                                            | 280160001   | 527006   | HIDALGO                                    |       29
        1990 |          28 | 1990           | JIMENEZ                                            | 280180001   | 529006   | JIMENEZ                                    |        8
        1996 |          28 | 1996           | MIGUEL ALEMAN                                      | 280250001   | 3730159  | MIGUEL ALEMAN                              |        2
        2000 |          28 | 2000           | OCAMPO                                             | 280290001   | 547009   | OCAMPO                                     |       16
        2004 |          28 | 2004           | RIO BRAVO                                          | 280330001   | 3965003  | RIO BRAVO MUNICIPIO DE                     |        2
        2005 |          28 | 2005           | SAN CARLOS                                         | 280340001   | 2524008  | SAN CARLOS YAUTEPEC                        |        3
        2006 |          28 | 2006           | SAN FERNANDO                                       | 280350001   | 779006   | SAN FERNANDO (CHIAPAS)                     |        3
        2007 |          28 | 2007           | SAN NICOLAS                                        | 280360001   | 2347002  | SAN NICOLAS DE LOS GARZA                   |        8
        2011 |          28 | 2011           | VALLE HERMOSO                                      | 280400001   | 3979006  | VALLE HERMOSO MUNICIPIO DE                 |        2
        2012 |          28 | 2012           | VICTORIA                                           | 280410001   | 204252   | GUADALUPE VICTORIA                         |       10
        2013 |          28 | 2013           | VILLAGRAN                                          | 280420001   | 1292008  | VILLAGRAN                                  |        2
        2015 |          29 | 2015           | ACUAMANALA DE MIGUEL HIDALGO                       | 290220001   |          |                                            |        0
        2016 |          29 | 2016           | ALTZAYANCA                                         | 290040001   |          |                                            |        0
        2018 |          29 | 2018           | APETATITLAN DE A CARBAJAL                          | 290020001   |          |                                            |        0
        2020 |          29 | 2020           | ATLANGATEPEC                                       | 290030001   |          |                                            |        0
        2021 |          29 | 2021           | BENITO JUAREZ                                      | 290450001   | 204159   | BENITO JUAREZ                              |       10
        2023 |          29 | 2023           | CHIAUTEMPAN                                        | 290100001   | 4021007  | CHIAUTEMPAN SANTA ANA                      |        1
        2024 |          29 | 2024           | CONTLA DE JUAN CUAMATZI                            | 290180001   |          |                                            |        0
        2027 |          29 | 2027           | EL CARMEN TEQUEXQUITLA                             | 290070001   |          |                                            |        0
        2028 |          29 | 2028           | EMILIANO ZAPATA                                    | 290460001   | 1421002  | EMILIANO ZAPATA                            |        5
        2032 |          29 | 2032           | IXTACUIXTLA DE M MATAMOROS                         | 290150001   |          |                                            |        0
        2034 |          29 | 2034           | LA MAGDALENA TLALTELULCO                           | 290480001   |          |                                            |        0
        2035 |          29 | 2035           | LAZARO CARDENAS                                    | 290470001   | 945132   | LAZARO CARDENAS                            |        7
        2036 |          29 | 2036           | MAZATECOCHCO DE JOSE MA MORELOS                    | 290170001   |          |                                            |        0
        2037 |          29 | 2037           | MUÑOZ DE DOMINGO ARENAS                            | 290110001   |          |                                            |        0
        2038 |          29 | 2038           | NANACAMILPA DE MARIANO ARISTA                      | 290210001   |          |                                            |        0
        2041 |          29 | 2041           | PAPALOTLA DE XICOHTENCATL                          | 290410001   |          |                                            |        0
        2042 |          29 | 2042           | SAN DAMIAN TEXOLOC                                 | 290490001   |          |                                            |        0
        2043 |          29 | 2043           | SAN FRANCISCO TETLANOHCAN                          | 290500001   |          |                                            |        0
        2044 |          29 | 2044           | SAN JERONIMO ZACUALPAN                             | 290510001   |          |                                            |        0
        2045 |          29 | 2045           | SAN JOSE TEACALCO                                  | 290520001   |          |                                            |        0
        2046 |          29 | 2046           | SAN JUAN HUACTZINCO                                | 290530001   |          |                                            |        0
        2047 |          29 | 2047           | SAN LORENZO AXOCOMANITLA                           | 290540001   |          |                                            |        0
        2048 |          29 | 2048           | SAN LUCAS TECOPILCO                                | 290550001   |          |                                            |        0
        2050 |          29 | 2050           | SANCTORUM DE LAZARO CARDENAS                       | 290200001   |          |                                            |        0
        2051 |          29 | 2051           | SANTA ANA NOPALUCAN                                | 290560001   |          |                                            |        0
        2052 |          29 | 2052           | SANTA APOLONIA TEACALCO                            | 290570001   |          |                                            |        0
        2053 |          29 | 2053           | SANTA CATARINA AYOMETLA                            | 290580001   |          |                                            |        0
        2054 |          29 | 2054           | SANTA CRUZ QUILEHTLA                               | 290590001   |          |                                            |        0
        2056 |          29 | 2056           | SANTA ISABEL XILOXOXTLA                            | 290600001   |          |                                            |        0
        2057 |          29 | 2057           | TENANCINGO                                         | 290270001   | 1789007  | TENANCINGO                                 |        2
        2058 |          29 | 2058           | TEOLOCHOLCO                                        | 290280001   |          |                                            |        0
        2059 |          29 | 2059           | TEPETITLA DE LARDIZABAL                            | 290190001   |          |                                            |        0
        2061 |          29 | 2061           | TERRENATE                                          | 290300001   |          |                                            |        0
        2062 |          29 | 2062           | TETLA DE LA SOLIDARIDAD                            | 290310001   |          |                                            |        0
        2063 |          29 | 2063           | TETLATLAHUCA                                       | 290320001   |          |                                            |        0
        2065 |          29 | 2065           | TLAXCO                                             | 290340001   | 1474001  | TLAXCOAPAN                                 |        5
        2069 |          29 | 2069           | XALOZTOC                                           | 290390001   |          |                                            |        0
        2071 |          29 | 2071           | XICOHTZINCO                                        | 290420001   |          |                                            |        0
        2072 |          29 | 2072           | YAUHQUEMECAN                                       | 290430001   |          |                                            |        0
        2073 |          29 | 2073           | Z DE TRINIDAD SANCHEZ SANTOS                       | 290370001   |          |                                            |        0
        2075 |          30 | 2075           | ACAJETE                                            | 300010001   | 3001009  | ACAJETE                                    |        2
        2076 |          30 | 2076           | ACATLAN                                            | 300020001   | 1353003  | SAN LUIS ACATLAN                           |       15
        2078 |          30 | 2078           | ACTOPAN                                            | 300040001   | 1403005  | ACTOPAN                                    |        2
        2082 |          30 | 2082           | ALPATLAHUAC                                        | 300080001   | 1370005  | XALPATLAHUAC                               |        1
        2083 |          30 | 2083           | ALTO LUCERO DE GUTIERREZ BARRIOS                   | 300090001   |          |                                            |        0
        2086 |          30 | 2086           | AMATITLAN                                          | 300120001   | 1505005  | AMATITLAN                                  |        3
        2088 |          30 | 2088           | ANGEL R CABADA                                     | 300150001   | 4115008  | ANGEL R CABADA MUNICIPIO DE                |        2
        2090 |          30 | 2090           | AQUILA                                             | 300180001   | 1908009  | AQUILA                                     |        2
        2093 |          30 | 2093           | ATOYAC                                             | 300210001   | 1311006  | ATOYAC DE ALVAREZ                          |        5
        2098 |          30 | 2098           | BENITO JUAREZ                                      | 300270001   | 204159   | BENITO JUAREZ                              |       10
        2101 |          30 | 2101           | CAMARON DE TEJEDA                                  | 300070001   |          |                                            |        0
        2104 |          30 | 2104           | CARRILLO PUERTO                                    | 300310001   | 1903103  | CARRILLO PUERTO                            |        4
        2105 |          30 | 2105           | CASTILLO DE TEAYO                                  | 301570001   |          |                                            |        0
        2107 |          30 | 2107           | CAZONES DE HERRERA                                 | 300330001   |          |                                            |        0
        2116 |          30 | 2116           | CHOCAMAN                                           | 300620001   |          |                                            |        0
        2119 |          30 | 2119           | CITLALTEPETL                                       | 300350001   |          |                                            |        0
        2122 |          30 | 2122           | COATEPEC                                           | 300380001   | 1721005  | COATEPEC HARINAS                           |        3
        2123 |          30 | 2123           | COATZACOALCOS                                      | 300390001   | 4139002  | COATZACOALCOS MUNICIPIO DE                 |        2
        2128 |          30 | 2128           | CORDOBA                                            | 300440001   | 4144001  | CORDOBA MUNICIPIO DE                       |        2
        2129 |          30 | 2129           | COSAMALOAPAN                                       | 300450001   | 4145002  | COSAMALOAPAN MUNICIPIO DE                  |        2
        2130 |          30 | 2130           | COSAUTLAN DE CARVAJAL                              | 300460001   |          |                                            |        0
        2139 |          30 | 2139           | EMILIANO ZAPATA                                    | 300650001   | 1421002  | EMILIANO ZAPATA                            |        5
        2140 |          30 | 2140           | ESPINAL                                            | 300660001   | 2429004  | ESPINAL EL                                 |        3
        2147 |          30 | 2147           | HUEYAPAN DE OCAMPO                                 | 300730001   | 4173006  | HUEYAPAN DE OCAMPO MUNICIPIO DE            |        2
        2153 |          30 | 2153           | IXHUACAN DE LOS REYES                              | 300790001   |          |                                            |        0
        2159 |          30 | 2159           | IXTACZOQUITLAN                                     | 300850001   |          |                                            |        0
        2160 |          30 | 2160           | JALACINGO                                          | 300860001   |          |                                            |        0
        2162 |          30 | 2162           | JALTIPAN                                           | 300890001   | 4189007  | JALTIPAN DE MORELOS                        |        1
        2165 |          30 | 2165           | JILOTEPEC                                          | 300930001   | 1746009  | JILOTEPEC                                  |        2
        2169 |          30 | 2169           | LA ANTIGUA                                         | 300160001   |          |                                            |        0
        2171 |          30 | 2171           | LANDERO Y COSS                                     | 300960001   |          |                                            |        0
        2172 |          30 | 2172           | LAS CHOAPAS                                        | 300610001   |          |                                            |        0
        2173 |          30 | 2173           | LAS MINAS                                          | 301070001   |          |                                            |        0
        2174 |          30 | 2174           | LAS VIGAS DE RAMIREZ                               | 301320001   |          |                                            |        0
        2177 |          30 | 2177           | MAGDALENA                                          | 300980001   | 1556008  | MAGDALENA                                  |       14
        2181 |          30 | 2181           | MARTINEZ DE LA TORRE                               | 301020001   | 4203009  | MARTINEZ DE LA TORRE MUNICIPIO DE          |        2
        2186 |          30 | 2186           | MINATITLAN                                         | 301080001   | 617009   | MINATITLAN                                 |        2
        2190 |          30 | 2190           | NANCHITAL DE LAZARO CARDENAS DEL RIO               | 302060001   |          |                                            |        0
        2192 |          30 | 2192           | NARANJAL                                           | 301130001   | 4214005  | NARANJAL EL                                |        1
        2193 |          30 | 2193           | NARANJOS AMATLAN                                   | 300130001   |          |                                            |        0
