 clasificacion | localidadcnbv |                localidad                | count |   sum   
 210101000000  | 407003        | CARMEN                                  |     5 |   10380
 211190000000  | 4128006       | BOCA DEL RIO                            |     1 |   10287
 210101000000  | 4128006       | BOCA DEL RIO                            |     2 |      10
 211190000000  | 4145002       | COSAMALOAPAN MUNICIPIO DE               |     1 |    8708
 210101000000  | 4145002       | COSAMALOAPAN MUNICIPIO DE               |     2 |      33
 211190000000  | 4148005       | COSOLEACAQUE                            |     1 |   51541
 210101000000  | 4148005       | COSOLEACAQUE                            |     2 |    1768
 210101000000  | 4270356       | VILLA DE AZUETA                         |     8 |    4118
 211190000000  | 4270356       | VILLA DE AZUETA                         |     1 |    1921
(363 filas)

