 precorteid | tablareservaid | prestamoid | ejercicio | periodo | fechacierre | diasvencidos | porcentajeaplicado | factoraplicado | saldoprestamo | reservacalculada | interesdevengadomenoravencido | interesdevengadomayoravencido | pagocapitalenperiodo | pagointeresenperiodo | pagomoratorioenperiodo | bonificacionintenperiodo | bonificacionmorenperiodo | noamorvencidas | saldovencidomenoravencido | saldovencidomayoravencido | fechaultamorpagada | tipoprestamoid | montoprestamo | clavefinalidad | tasanormal | tasa_moratoria | ultimoabono | diastraspasoavencida | fecha_vencimiento | ultimoabonointeres | interesdevmormenor | interesdevmormayor | saldopromedio | dias_de_cobro | meses_de_cobro | depositogarantia | pagosvencidos | finalidaddefault |  saldopromediodelmes   | interesdevengadomes | primerincumplimiento | diasinteres | diascapital | reservaidnc | frecuencia | fecha_otorga | estatusvive | zonamarginada | importeultimaamort | importevencidoamort | tipocartera 
    2345329 |                |       7235 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              5001.48 |               186.00 |                   5.00 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-05         | N1             |  15000.000000 | 002            |      31.44 |          47.16 | 2013-12-13  |                   89 | 2014-05-06        | 2013-12-13         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  2500.7400000000000000 |             -131.00 | 2014-01-04           |           0 |           0 |        0.00 |         30 | 2012-11-06   |           3 |               |                833 |                   0 | 
    2344443 |                |       6332 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |             29499.76 |               162.00 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-24         | N4             | 100000.000000 | 002            |      24.68 |          29.62 | 2013-12-05  |                   89 | 2015-04-10        | 2013-12-05         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              | 14749.8800000000000000 |              -61.00 | 2014-01-23           |           0 |           0 |        0.00 |         30 | 2012-04-26   |           3 |               |               2777 |                   0 | 
    2346771 |                |       8687 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   4000.000000 |      40.00000000 |                          0.00 |                          0.00 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               4000.000000 |                         0 | 2013-10-01         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-10-01  |                   89 | 2014-01-29        | 2013-10-01         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  4000.0000000000000000 |                0.00 | 2014-01-29           |           0 |           0 |      0.0000 |        120 | 2013-10-01   |           3 |               |        4000.000000 |                   0 | 
    2344516 |                |       6405 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              2511.36 |                70.00 |                   6.00 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-10         | N1             |  10000.000000 | 002            |      25.83 |          30.99 | 2013-12-26  |                   89 | 2014-05-11        | 2013-12-26         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  1255.6800000000000000 |              -23.00 | 2014-01-09           |           0 |           0 |        0.00 |         30 | 2012-05-14   |           3 |               |                416 |                   0 | 
    2347011 |                |       8927 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |  15000.000000 |     150.00000000 |                        443.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |              15000.000000 |                         0 | 2013-12-01         | N1             |  15000.000000 | 002            |      35.40 |          53.10 | 2013-12-01  |                   89 | 2014-12-03        | 2013-12-01         |                  0 |                  0 |               |            30 |              0 |         0.000000 |             0 | 002              |           15000.000000 |              443.00 | 2014-01-02           |           0 |           0 |      4.4300 |         32 | 2013-12-01   |           3 |               |               1250 |                   0 | 
    2346507 |                |       8422 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |    999.640000 |       9.99640000 |                          1.00 |                             0 |               999.60 |                15.00 |                      0 |                        0 |                        0 |              0 |                999.640000 |                         0 | 2013-12-26         | N8             |   6000.000000 | 002            |       9.36 |          14.04 | 2013-12-26  |                   89 | 2014-01-26        | 2013-12-26         |                  0 |                  0 |               |            30 |              0 |             6600 |             0 | 002              |  1499.4400000000000000 |               -1.00 | 2014-01-25           |           0 |           0 |      0.0100 |         30 | 2013-07-29   |           3 |               |               1000 |                   0 | 
    2346554 |                |       8469 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   9168.880000 |      91.68880000 |                        114.00 |                             0 |             12707.68 |               252.00 |                      0 |                        0 |                        0 |              0 |               9168.880000 |                         0 | 2013-12-08         | N16            |  25000.000000 | 002            |      15.96 |          23.94 | 2013-12-03  |                   89 | 2015-08-06        | 2013-12-03         |                  0 |                  0 |               |            30 |              0 |            27500 |             0 | 002              |     15522.720000000000 |             -109.00 | 2014-01-07           |           0 |           0 |      1.1400 |         30 | 2013-08-08   |           3 |               |               1041 |                   0 | 
    2346619 |                |       8534 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              4000.00 |                    0 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-20         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-12-20  |                   89 | 2013-12-20        | 2013-12-20         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  2000.0000000000000000 |                0.00 | 2014-04-19           |           0 |           0 |        0.00 |        120 | 2013-08-22   |           3 |               |        4000.000000 |            0.000000 | 
    2347033 |                |       8949 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |  15000.000000 |     150.00000000 |                        271.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |              15000.000000 |                         0 | 2013-12-08         | N4             |  15000.000000 | 002            |      28.32 |          42.48 | 2013-12-08  |                   89 | 2015-06-07        | 2013-12-08         |                  0 |                  0 |               |            30 |              0 |             1500 |             0 | 002              |           15000.000000 |              271.00 | 2014-01-07           |           0 |           0 |      2.7100 |         30 | 2013-12-08   |           3 |               |                833 |                   0 | 
    2346895 |                |       8811 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   4000.000000 |      40.00000000 |                          0.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               4000.000000 |                         0 | 2013-10-31         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-10-31  |                   89 | 2014-02-28        | 2013-10-31         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  4000.0000000000000000 |                0.00 | 2014-02-28           |           0 |           0 |      0.0000 |        120 | 2013-10-31   |           3 |               |        4000.000000 |                   0 | 
