?column?, precorteid , tablareservaid , prestamoid , ejercicio , periodo , fechacierre , diasvencidos , porcentajeaplicado , factoraplicado , saldoprestamo , reservacalculada , interesdevengadomenoravencido , interesdevengadomayoravencido , pagocapitalenperiodo , pagointeresenperiodo , pagomoratorioenperiodo , bonificacionintenperiodo , bonificacionmorenperiodo , noamorvencidas , saldovencidomenoravencido , saldovencidomayoravencido , fechaultamorpagada , tipoprestamoid , montoprestamo , clavefinalidad , tasanormal , tasa_moratoria , ultimoabono , diastraspasoavencida ,,,, fecha_vencimiento , ultimoabonointeres , interesdevmormenor , interesdevmormayor , saldopromedio , dias_de_cobro , meses_de_cobro , depositogarantia , pagosvencidos , finalidaddefault ,  saldopromediodelmes   , interesdevengadomes , primerincumplimiento , diasinteres , diascapital , reservaidnc , frecuencia , fecha_otorga , estatusvive , zonamarginada , importeultimaamort , importevencidoamort , tipocartera 
007950-,2346507,                ,8422,2013,12, 2013-12-31  ,0,0.01,1,999.64,9.9964,1,0,999.6,15,0,0,0,0,999.64,0, 2013-12-26         , N8             ,6000,2,9.36,14.04, 2013-12-26  ,89,,,, 2014-01-26        , 2013-12-26         ,0,0,               ,30,0,6600,0,2,1499.44,-1, 2014-01-25           ,0,0,0.01,30, 2013-07-29   ,3,               ,1000,0, 
007997-,2346554,                ,8469,2013,12, 2013-12-31  ,0,0.01,1,9168.88,91.6888,114,0,12707.68,252,0,0,0,0,9168.88,0, 2013-12-08         , N16            ,25000,2,15.96,23.94, 2013-12-03  ,89,114,114,0, 2015-08-06        , 2013-12-03         ,0,0,               ,30,0,27500,0,2,15522.72,-109, 2014-01-07           ,0,0,1.14,30, 2013-08-08   ,3,               ,1041,0, 
008062-,2346619,                ,8534,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,4000,0,0,0,0,0,0,0, 2013-12-20         , P4             ,4000,2,0,0, 2013-12-20  ,89,,,, 2013-12-20        , 2013-12-20         ,0,0,               ,120,0,0,0,2,2000,0, 2014-04-19           ,0,0,0,120, 2013-08-22   ,3,               ,4000,0, 
008476-,2347033,                ,8949,2013,12, 2013-12-31  ,0,0.01,1,15000,150,271,0,0,0,0,0,0,0,15000,0, 2013-12-08         , N4             ,15000,2,28.32,42.48, 2013-12-08  ,89,,,, 2015-06-07        , 2013-12-08         ,0,0,               ,30,0,1500,0,2,15000,271, 2014-01-07           ,0,0,2.71,30, 2013-12-08   ,3,               ,833,0, 
008338-,2346895,                ,8811,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-10-31         , P4             ,4000,2,0,0, 2013-10-31  ,89,,,, 2014-02-28        , 2013-10-31         ,0,0,               ,120,0,0,0,2,4000,0, 2014-02-28           ,0,0,0,120, 2013-10-31   ,3,               ,4000,0, 
006179-,2344740,                ,6633,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,12999.36,77,0,0,0,0,0,0, 2013-12-19         , N4             ,30000,2,23.64,35.46, 2013-12-03  ,89,,,, 2014-12-18        , 2013-12-03         ,0,0,               ,30,0,0,0,2,6499.68,-51, 2014-01-18           ,0,0,0,30, 2012-06-22   ,3,               ,1000,0, 
008477-,2347034,                ,8950,2013,12, 2013-12-31  ,0,0.01,1,15000,150,321,0,0,0,0,0,0,0,15000,0, 2013-12-08         , N1             ,15000,2,33.48,50.22, 2013-12-08  ,89,,,, 2015-12-06        , 2013-12-08         ,0,0,               ,30,0,2250,0,2,15000,321, 2014-01-07           ,0,0,3.21,30, 2013-12-08   ,3,               ,625,0, 
008220-,2346777,                ,8693,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-10-04         , P4             ,4000,2,0,0, 2013-10-04  ,89,,,, 2014-02-02        , 2013-10-04         ,0,0,               ,120,0,0,0,2,4000,0, 2014-02-02           ,0,0,0,121, 2013-10-04   ,3,               ,4000,0, 
008075-,2346632,                ,8547,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,4000,0,0,0,0,0,0,0, 2013-12-22         , P4             ,4000,2,0,0, 2013-12-22  ,89,,,, 2013-12-22        , 2013-12-22         ,0,0,               ,120,0,0,0,2,2000,0, 2014-04-21           ,0,0,0,120, 2013-08-23   ,3,               ,4000,0, 
008400-,2346957,                ,8873,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-11-24         , P4             ,4000,2,0,0, 2013-11-24  ,89,,,, 2014-03-24        , 2013-11-24         ,0,0,               ,120,0,0,0,2,4000,0, 2014-03-24           ,0,0,0,120, 2013-11-24   ,3,               ,4000,0, 
006418-,2344979,                ,6880,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,2201.96,64,0,0,0,0,0,0, 2013-12-13         , N4             ,25000,2,26.76,40.14, 2013-12-23  ,89,,,, 2014-08-12        , 2013-12-23         ,0,0,               ,30,0,0,0,2,1100.98,-43, 2014-01-12           ,0,0,0,30, 2012-08-15   ,3,               ,1041,0, 
008099-,2346656,                ,8571,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,4000,0,0,0,0,0,0,0, 2013-12-27         , P4             ,4000,2,0,0, 2013-12-27  ,89,,,, 2013-12-27        , 2013-12-27         ,0,0,               ,120,0,0,0,2,2000,0, 2014-04-26           ,0,0,0,120, 2013-08-29   ,3,               ,4000,0, 
008102-,2346659,                ,8574,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,4000,0,0,0,0,0,0,0, 2013-12-29         , P4             ,4000,2,0,0, 2013-12-29  ,89,,,, 2013-12-29        , 2013-12-29         ,0,0,               ,120,0,0,0,2,2000,0, 2014-04-28           ,0,0,0,120, 2013-08-30   ,3,               ,4000,0, 
006419-,2344980,                ,6881,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,1758.6,88,3,0,0,0,0,0, 2013-12-13         , N1             ,11000,2,39.36,59.04, 2013-12-16  ,89,,,, 2014-02-11        , 2013-12-16         ,0,0,               ,30,0,0,0,2,879.3,-58, 2014-01-12           ,0,0,0,30, 2012-08-15   ,3,               ,611,0, 
006427-,2344988,                ,6889,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,3336.88,161,24,0,0,0,0,0, 2013-12-15         , N1             ,15000,2,33.48,50.22, 2013-12-05  ,89,,,, 2014-02-13        , 2013-12-05         ,0,0,               ,30,0,0,0,2,1668.44,-146, 2014-01-14           ,0,0,0,30, 2012-08-16   ,3,               ,833,0, 
008478-,2347035,                ,8951,2013,12, 2013-12-31  ,0,0.01,1,5000,50,92,0,0,0,0,0,0,0,5000,0, 2013-12-08         , N13            ,5000,2,28.92,43.38, 2013-12-08  ,89,,,, 2014-10-07        , 2013-12-08         ,0,0,               ,30,0,500,0,2,5000,92, 2014-01-07           ,0,0,0.92,30, 2013-12-08   ,3,               ,500,0, 
008250-,2346807,                ,8723,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-10-13         , P4             ,4000,2,0,0, 2013-10-13  ,89,,,, 2014-02-10        , 2013-10-13         ,0,0,               ,120,0,0,0,2,4000,0, 2014-02-10           ,0,0,0,120, 2013-10-13   ,3,               ,4000,0, 
006459-,2345020,                ,6921,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,2504.88,37,0,0,0,0,0,0, 2013-12-19         , N1             ,15000,2,31.44,47.16, 2013-12-09  ,89,,,, 2014-02-18        , 2013-12-09         ,0,0,               ,30,0,0,0,2,1252.44,-18, 2014-01-18           ,0,0,0,30, 2012-08-22   ,3,               ,833,0, 
006477-,2345038,                ,6939,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,3338,100,3,0,0,0,0,0, 2013-12-29         , N1             ,15000,2,31.44,47.16, 2013-12-08  ,89,,,, 2014-02-27        , 2013-12-08         ,0,0,               ,30,0,0,0,2,1669,-87, 2014-01-28           ,0,0,0,30, 2012-08-28   ,3,               ,833,0, 
008479-,2347036,                ,8952,2013,12, 2013-12-31  ,0,0.01,1,16000,160,321,0,0,0,0,0,0,0,16000,0, 2013-12-08         , N4             ,16000,2,31.44,47.16, 2013-12-08  ,89,,,, 2015-06-07        , 2013-12-08         ,0,0,               ,30,0,0,0,2,16000,321, 2014-01-07           ,0,0,3.21,30, 2013-12-08   ,3,               ,888,0, 
